Boat number,Size class,Sample number,Mass of boat (g),Mass of boat + sample (g),Mass of sample (g),Sieve date,Start dry time,All water evaporated time,Removed from oven time,Notes,,
56.5-2,fPOM,R1 Q3,13.52,13.84,0.32,7/13/2023,7/17/2023 4:50 PM,7/23/2023 5:45 PM,7/24/2023 4:40 PM,,,
57-2,>4.75 mm,R1 Q3,13.49,18.52,5.03,7/13/2023,7/17/2023 4:50 PM,7/19/2023 10:30 AM,7/20/2023 10:40 AM,,,
58-2,>2 mm,R1 Q3,13.49,40.8,27.31,7/13/2023,7/23/2023 6:00 PM,7/28/2023 4:30 PM,8/3/2023 10:30 AM,,,
59-2,>250 um,R1 Q3,13.44,61.39,47.95,7/13/2023,7/17/2023 4:50 PM,7/19/2023 10:30 AM,7/20/2023 10:40 AM,,,
60-2,>53 um,R1 Q3,13.37,19.8,6.43,7/13/2023,7/23/2023 6:15 PM,7/23/2023 6:15 PM,7/24/2023 4:40 PM,,,
61-2,Full,E2 Q5,13.21,113.66,100.45,7/13/2023,,,,,,
61.5-2,fPOM,E2 Q5,13.59,13.74,0.15,7/13/2023,8/15/2023 1:35 PM,8/15/2023 1:35 PM,8/21/2023 8:20 AM,,,
62-2,>4.75 mm,E2 Q5,13.48,24.85,11.37,7/13/2023,7/23/2023 6:15 PM,7/23/2023 5:40 PM,7/24/2023 4:40 PM,,,
63-2,>2 mm,E2 Q5,13.42,36.66,23.24,7/13/2023,8/3/2023 12:30 PM,8/3/2023 12:30 PM,8/5/2023 5:30 PM,,,
64-2,>250 um,E2 Q5,13.3,61.45,48.15,7/13/2023,7/24/2023 4:40 PM,7/24/2023 4:40 PM,7/25/2023 4:45 PM,,,
65-2,>53 um,E2 Q5,13.37,20.55,7.18,7/13/2023,7/24/2023 4:40 PM,7/24/2023 4:40 PM,7/25/2023 4:45 PM,,,
66-2,Full,D2 Q1,14.98,115.05,100.07,7/13/2023,,,,,,
66.5-2,fPOM,D2 Q1,13.44,13.79,0.35,7/13/2023,7/27/2023 4:15 PM,7/27/2023 4:15 PM,7/28/2023 4:30 PM,,,
