v,v.mean,t,mean,sd,5,95,15,85,25,75
2-4.75 mm,25.26764998,Balled-and-burlapped,23.42281,2.040359438,20.09009526,26.56867315,21.50642915,25.58417562,22.15807347,24.71714965
2-4.75 mm,25.26764998,Bareroot,24.11876097,2.050757542,20.58712583,27.20313763,21.8394053,25.92155134,22.69067213,25.24734661
2-4.75 mm,25.26764998,Seedling,26.33578677,2.270465787,22.8088797,30.14752772,23.99594171,28.33905591,24.7210528,27.45711466
2-4.75 mm,25.26764998,Acorn,26.0749857,2.096092301,22.80589193,29.44655486,23.84765574,27.91514633,24.52943489,27.06126909
2-4.75 mm,25.26764998,Seedbank,26.24002704,2.190840066,23.07293812,30.25162556,24.02994643,28.35657486,24.44174963,27.24300853
2-4.75 mm,25.26764998,Reference,24.94779579,2.101666441,21.50316042,28.29391944,22.91578148,27.08294843,23.42210467,26.11946236
0.250-2 mm,48.03663983,Balled-and-burlapped,51.62141607,1.436181946,49.21450758,53.89792875,50.18653931,53.17785496,50.69531244,52.65841998
0.250-2 mm,48.03663983,Bareroot,50.55008034,1.47954627,48.02101303,52.89406023,49.1945699,52.16680377,49.78633504,51.69342769
0.250-2 mm,48.03663983,Seedling,49.91871584,1.445318077,47.55629416,52.2163649,48.36704578,51.32012367,48.97507276,50.85387121
0.250-2 mm,48.03663983,Acorn,44.66294712,1.488045073,42.28071405,47.19618908,43.19946235,46.20377245,43.74584993,45.70905643
0.250-2 mm,48.03663983,Seedbank,42.92663803,1.417198993,40.5844119,45.22268536,41.46265114,44.3356835,42.07644359,43.94456044
0.250-2 mm,48.03663983,Reference,48.22288863,1.437310539,45.94846533,50.56669963,46.86842696,49.68916243,47.37888425,49.18696501
0.053-0.250 mm,7.345892833,Balled-and-burlapped,8.483213128,1.11035844,6.65944241,10.20148562,7.345302452,9.521204451,7.621860948,9.036847257
0.053-0.250 mm,7.345892833,Bareroot,7.825888826,1.096390459,5.966367951,9.503473456,6.750661896,8.834366138,6.989550575,8.275971853
0.053-0.250 mm,7.345892833,Seedling,7.523801738,1.023992594,5.997725768,9.265940436,6.358855185,8.41639306,6.784857961,8.1226086
0.053-0.250 mm,7.345892833,Acorn,6.92988901,1.009778188,5.380301206,8.593459226,5.791239582,7.776116576,6.119083674,7.395991016
0.053-0.250 mm,7.345892833,Seedbank,5.997308664,0.885055816,4.575016745,7.46792034,4.966758226,6.700009597,5.310990532,6.414559694
0.053-0.250 mm,7.345892833,Reference,6.777588976,1.011467071,5.050035933,8.275483585,5.827134434,7.815609554,6.072912804,7.33450239
<0.053 mm,11.64942695,Balled-and-burlapped,9.348585296,1.176337427,7.471284885,11.25396364,8.104998664,10.47496359,8.553666234,10.11491422
<0.053 mm,11.64942695,Bareroot,10.23651588,1.247663439,8.188412051,12.19801203,8.826592063,11.29845161,9.482082739,11.03276509
