variable,variable.label,variable.mean,treatment,posterior.mean,posterior.sd,5,95,25,75
ca,Ca (ppm),6541.288889,Reference,6029.432222,283.1782072,5546.872325,6483.208352,5834.719682,6199.892938
mg,Mg (ppm),560.5888889,Balled-and-burlapped,507.3398875,24.23178284,479.1835981,548.7834496,482.6954027,511.0192795
mg,Mg (ppm),560.5888889,Bareroot,554.5968578,21.8111028,520.0260563,590.1624385,545.0145647,566.3799363
mg,Mg (ppm),560.5888889,Seedling,536.6144255,23.60035426,500.5356468,573.7846309,519.1948875,543.4265303
mg,Mg (ppm),560.5888889,Acorn,552.2943644,22.31652348,513.9193356,587.105199,539.6116523,561.5904842
mg,Mg (ppm),560.5888889,Seedbank,526.0599586,21.17429817,493.7265486,564.3843768,517.0817152,538.0977411
mg,Mg (ppm),560.5888889,Reference,666.6356189,23.12008563,630.9640062,706.4290825,657.0616295,680.4843462
k.meq,K (meq/100 g),0.168888889,Balled-and-burlapped,0.158177566,0.017435811,0.12726621,0.183951353,0.145361543,0.167819077
k.meq,K (meq/100 g),0.168888889,Bareroot,0.152249363,0.017360498,0.123553102,0.180172736,0.141985656,0.163688697
k.meq,K (meq/100 g),0.168888889,Seedling,0.111841509,0.017027446,0.084167094,0.139757257,0.100217922,0.122376216
k.meq,K (meq/100 g),0.168888889,Acorn,0.231151454,0.020000724,0.200528631,0.264761398,0.217676287,0.242999415
k.meq,K (meq/100 g),0.168888889,Seedbank,0.211041529,0.01966217,0.180996942,0.243994098,0.197980796,0.222728388
k.meq,K (meq/100 g),0.168888889,Reference,0.139280972,0.017333729,0.112007187,0.166646822,0.125520493,0.14803771
ca.meq,Ca (meq/100 g),32.71222222,Balled-and-burlapped,33.50233409,1.49900879,30.80367732,35.70908636,32.54968549,34.42292533
ca.meq,Ca (meq/100 g),32.71222222,Bareroot,32.06432802,1.433479705,29.95739412,34.55530473,31.25886689,32.98704888
ca.meq,Ca (meq/100 g),32.71222222,Seedling,31.75910362,1.441767537,29.29066242,33.96345781,30.7859549,32.49859268
ca.meq,Ca (meq/100 g),32.71222222,Acorn,35.41382059,1.578089802,32.84318471,37.84208247,34.37559539,36.25360325
ca.meq,Ca (meq/100 g),32.71222222,Seedbank,33.11006836,1.502106884,30.58802451,35.49107926,32.06996994,33.89226022
ca.meq,Ca (meq/100 g),32.71222222,Reference,30.05491156,1.37382525,27.81634441,32.28106309,29.05433729,30.79839186
mg.meq,Mg (meq/100 g),4.677777778,Balled-and-burlapped,4.296801154,0.202645383,3.977120891,4.6211568,4.170350827,4.429405885
mg.meq,Mg (meq/100 g),4.677777778,Bareroot,4.655654474,0.21125591,4.315505052,5.002131709,4.536047614,4.811162618
mg.meq,Mg (meq/100 g),4.677777778,Seedling,4.512523038,0.209441298,4.146622566,4.828781041,4.363468477,4.624549974
mg.meq,Mg (meq/100 g),4.677777778,Acorn,4.578147047,0.207526433,4.220405288,4.890453128,4.451684052,4.721925132
mg.meq,Mg (meq/100 g),4.677777778,Seedbank,4.404821565,0.207437506,4.063790519,4.73433732,4.254985539,4.527679078
mg.meq,Mg (meq/100 g),4.677777778,Reference,5.577338503,0.228971095,5.237352714,5.975759265,5.404722797,5.687490781
cec,CEC (meq/100 g),37.56333333,Balled-and-burlapped,37.92396755,1.460359738,35.50461178,40.27575187,37.07338762,38.88008622
cec,CEC (meq/100 g),37.56333333,Bareroot,36.93551199,1.459707072,34.72835837,39.55303372,36.17903825,38.00920614
cec,CEC (meq/100 g),37.56333333,Seedling,36.41064517,1.470773307,34.21955613,38.97059928,35.22576226,37.12558287
cec,CEC (meq/100 g),37.56333333,Acorn,40.24791698,1.490931157,38.07552157,42.85063214,39.4280305,41.29446193
cec,CEC (meq/100 g),37.56333333,Seedbank,37.7992478,1.483879073,35.5470296,40.2287453,36.63689517,38.48354692
cec,CEC (meq/100 g),37.56333333,Reference,35.90382115,1.441317748,33.56478317,38.16310829,35.10430938,36.87753645
ph,pH,7.636666667,Balled-and-burlapped,7.693686831,0.049093289,7.618924727,7.775674508,7.656097796,7.718774499
ph,pH,7.636666667,Bareroot,7.738599675,0.049254271,7.654690811,7.814236855,7.712958048,7.776091296
ph,pH,7.636666667,Seedling,7.652835584,0.049622031,7.571041101,7.728955324,7.620868105,7.68396944
ph,pH,7.636666667,Acorn,7.633267442,0.047452492,7.559991061,7.709044252,7.601160764,7.660893545
ph,pH,7.636666667,Seedbank,7.595938976,0.049596707,7.515747664,7.673938117,7.561507521,7.62229296
ph,pH,7.636666667,Reference,7.499766962,0.049886522,7.418086262,7.578919913,7.471480765,7.532992007
fpom,Floating POM,0.241056201,Balled-and-burlapped,0.142777642,0.044273118,0.072254175,0.214308616,0.109997331,0.167544687
fpom,Floating POM,0.241056201,Bareroot,0.269642312,0.05081028,0.195065248,0.360432647,0.227979612,0.29332409
fpom,Floating POM,0.241056201,Seedling,0.288318978,0.052386215,0.208394748,0.37297825,0.257685231,0.321965406
fpom,Floating POM,0.241056201,Acorn,0.183795979,0.047243979,0.105163587,0.256902184,0.15577507,0.218486736
fpom,Floating POM,0.241056201,Seedbank,0.218794337,0.049457407,0.134503753,0.298163832,0.181324656,0.242986894
fpom,Floating POM,0.241056201,Reference,0.333887093,0.06659477,0.225954761,0.441530502,0.285236056,0.374764604
g475mm,>=4.75 mm,7.48076142,Balled-and-burlapped,6.520517765,0.937037293,4.96316966,7.989018259,5.803612572,6.991100485
g475mm,>=4.75 mm,7.48076142,Bareroot,6.599967837,0.911354602,5.200374181,8.153367898,6.010161265,7.254693807
g475mm,>=4.75 mm,7.48076142,Seedling,6.263871638,0.915480858,4.703155098,7.653370056,5.775925949,6.99412479
g475mm,>=4.75 mm,7.48076142,Acorn,8.991034116,1.005694858,7.453611358,10.67946332,8.283019543,9.614098174
g475mm,>=4.75 mm,7.48076142,Seedbank,10.71572623,1.042706895,9.072887593,12.48629423,9.909140173,11.24345949
g475mm,>=4.75 mm,7.48076142,Reference,5.078704878,0.852532001,3.774830877,6.535923029,4.371125734,5.479575207
g2mm,2-4.75 mm,25.26764998,Balled-and-burlapped,23.42281,2.040359438,20.09009526,26.56867315,22.15807347,24.71714965
g2mm,2-4.75 mm,25.26764998,Bareroot,24.11876097,2.050757542,20.58712583,27.20313763,22.69067213,25.24734661
