model,model.label,variable,variable.label,variable.mean,treatment,full.treatment.name,posterior.mean,posterior.se,5,95,25,75
strip.random,Strip random effects,toc.percent,TOC (%),3.896777778,C,Seedling,0.078132553,0.08554369,-0.061371284,0.214882917,0.028311591,0.134242037
strip.random,Strip random effects,toc.percent,TOC (%),3.896777778,D,Acorn,0.306426073,0.087433188,0.166222763,0.443742129,0.246251254,0.35238381
strip.random,Strip random effects,toc.percent,TOC (%),3.896777778,E,Seedbank,0.322310944,0.082142863,0.191000399,0.454028878,0.269075229,0.369342375
strip.random,Strip random effects,toc.percent,TOC (%),3.896777778,R,Reference,0.356269896,0.097441122,0.201490203,0.513715027,0.299116036,0.41339782
strip.plot.random,Strip and plot random effects,toc.percent,TOC (%),3.896777778,A,Balled-and-burlapped,-0.200547181,0.069552863,-0.312147325,-0.088648053,-0.240378506,-0.153756714
strip.plot.random,Strip and plot random effects,toc.percent,TOC (%),3.896777778,B,Bareroot,0.072475361,0.093075416,-0.074631972,0.225308735,0.013218859,0.13014554
strip.plot.random,Strip and plot random effects,toc.percent,TOC (%),3.896777778,C,Seedling,0.078466445,0.093128058,-0.074997834,0.225927149,0.019568961,0.136089041
strip.plot.random,Strip and plot random effects,toc.percent,TOC (%),3.896777778,D,Acorn,0.302498385,0.093909335,0.154064347,0.454824572,0.243283662,0.358178581
strip.plot.random,Strip and plot random effects,toc.percent,TOC (%),3.896777778,E,Seedbank,0.321853581,0.089825491,0.174130629,0.464442821,0.261365053,0.372351407
strip.plot.random,Strip and plot random effects,toc.percent,TOC (%),3.896777778,R,Reference,0.355640471,0.101762219,0.197682675,0.52287489,0.288359489,0.40921638
simple,Fixed effects only,sand,Sand (%),40.73333333,A,Balled-and-burlapped,-0.069320911,0.03141025,-0.121225832,-0.017977681,-0.088473225,-0.046437766
simple,Fixed effects only,sand,Sand (%),40.73333333,B,Bareroot,0.034636268,0.043726002,-0.037802733,0.106105844,0.006342709,0.06497698
simple,Fixed effects only,sand,Sand (%),40.73333333,C,Seedling,0.053178658,0.043423812,-0.017859008,0.124564846,0.026308339,0.084499683
simple,Fixed effects only,sand,Sand (%),40.73333333,D,Acorn,0.053132001,0.043184586,-0.019890507,0.122707639,0.024538504,0.082055955
simple,Fixed effects only,sand,Sand (%),40.73333333,E,Seedbank,0.076140276,0.042914728,0.004682477,0.145815689,0.046742146,0.104347717
simple,Fixed effects only,sand,Sand (%),40.73333333,R,Reference,0.181183514,0.041108387,0.114708186,0.249795564,0.151266113,0.206499913
strip.random,Strip random effects,sand,Sand (%),40.73333333,A,Balled-and-burlapped,-0.078338489,0.053140913,-0.162371748,0.006635389,-0.107522619,-0.044205673
strip.random,Strip random effects,sand,Sand (%),40.73333333,B,Bareroot,0.042351467,0.069918979,-0.069760034,0.154032971,-0.006193898,0.078061709
strip.random,Strip random effects,sand,Sand (%),40.73333333,C,Seedling,0.061064046,0.069523088,-0.048945079,0.172491422,0.0152854,0.099002418
strip.random,Strip random effects,sand,Sand (%),40.73333333,D,Acorn,0.06298371,0.075066819,-0.054715506,0.182915461,0.017912992,0.106607073
strip.random,Strip random effects,sand,Sand (%),40.73333333,E,Seedbank,0.084668562,0.06929005,-0.029052578,0.190895215,0.041261944,0.124023474
strip.random,Strip random effects,sand,Sand (%),40.73333333,R,Reference,0.190484363,0.084622761,0.058510068,0.329024448,0.140613303,0.235377638
strip.plot.random,Strip and plot random effects,sand,Sand (%),40.73333333,A,Balled-and-burlapped,-0.075053056,0.063343529,-0.17432942,0.02771791,-0.110595607,-0.034973943
strip.plot.random,Strip and plot random effects,sand,Sand (%),40.73333333,B,Bareroot,0.039183929,0.085551303,-0.096142287,0.178770201,-0.012285458,0.091513665
strip.plot.random,Strip and plot random effects,sand,Sand (%),40.73333333,C,Seedling,0.057149357,0.085579816,-0.079363854,0.196096027,0.003051283,0.106556162
strip.plot.random,Strip and plot random effects,sand,Sand (%),40.73333333,D,Acorn,0.058087334,0.088768916,-0.084988396,0.197918161,0.00541004,0.112013244
strip.plot.random,Strip and plot random effects,sand,Sand (%),40.73333333,E,Seedbank,0.079999966,0.08547378,-0.057542824,0.215620321,0.024895029,0.127774032
strip.plot.random,Strip and plot random effects,sand,Sand (%),40.73333333,R,Reference,0.185526467,0.095697956,0.029312986,0.332391245,0.13082942,0.240799591
simple,Fixed effects only,silt,Silt (%),42.11111111,A,Balled-and-burlapped,0.054768899,0.025307819,0.013722952,0.097069812,0.038978619,0.072672252
simple,Fixed effects only,silt,Silt (%),42.11111111,B,Bareroot,-0.042790099,0.036824006,-0.103112313,0.017985824,-0.069478844,-0.020483231
simple,Fixed effects only,silt,Silt (%),42.11111111,C,Seedling,-0.031768683,0.036376192,-0.092152361,0.027379221,-0.055349273,-0.006835625
simple,Fixed effects only,silt,Silt (%),42.11111111,D,Acorn,-0.044236439,0.036713538,-0.104531227,0.016098019,-0.070851912,-0.021777752
