Boat number,Size class,Sample number,Mass of boat (g),Mass of boat + sample (g),Mass of sample (g),Sieve date,Start dry time,All water evaporated time,Removed from oven time,Notes
35-2,>53 um,B1 Q1,16.41,24.46,8.05,7/6/2023,7/15/2023 16:00,7/16/2023 16:30,7/17/2023 16:30,
36-2,Full,D3 Q1,13.39,113.98,100.59,7/12/2023,,,,
36.5-2,fPOM,D3 Q1,13.48,13.62,0.14,7/12/2023,7/15/2023 16:00,7/19/2023 10:30,7/20/2019 10:40,
37-2,>4.75 mm,D3 Q1,15.98,23.82,7.84,7/12/2023,7/16/2023 16:30,7/18/2023 16:15,7/19/2023 16:20,
38-2,>2 mm,D3 Q1,16.12,40.38,24.26,7/12/2023,7/16/2023 16:30,7/22/2023 17:45,7/23/2023 17:45,
39-2,>250 um,D3 Q1,16.3,65.95,49.65,7/12/2023,7/16/2023 16:30,7/19/2023 10:30,7/20/2023 10:40,
40-2,>53 um,D3 Q1,16.16,22.2,6.04,7/12/2023,7/16/2023 16:30,7/23/2023 17:45,7/23/2023 16:40,
41-2,Full,D3 Q5,16.34,116.4,100.06,7/12/2023,,,,
41.5-2,fPOM,D3 Q5,13.46,13.53,0.07,7/12/2023,7/16/2023 16:30,7/22/2023 17:45,7/23/2023 17:45,
42-2,>4.75 mm,D3 Q5,16.46,30.96,14.5,7/12/2023,7/16/2023 16:30,7/17/2023 16:30,7/18/2023 16:00,
43-2,>2 mm,D3 Q5,16.09,42.61,26.52,7/12/2023,7/17/2023 23:45,7/22/2023 17:45,7/23/2023 17:45,
44-2,>250 um,D3 Q5,16.16,62.52,46.36,7/12/2023,7/17/2023 23:45,7/18/2023 16:15,7/19/2023 16:20,
45-2,>53 um,D3 Q5,13.28,17.15,3.87,7/12/2023,7/17/2023 23:45,7/21/2023 16:00,7/22/2023 17:40,
46-2,Full,E1 Q4,13.36,113.69,100.33,7/12/2023,,,,
46.5-2,fPOM,E1 Q4,16.27,16.61,0.34,7/12/2023,7/17/2023 23:45,7/21/2023 16:00,7/22/2023 17:45,
47-2,>4.75 mm,E1 Q4,16.17,28.95,12.78,7/12/2023,7/17/2023 23:45,7/19/2023 10:30,7/20/2023 10:40,
48-2,>2 mm,E1 Q4,13.39,45.82,32.43,7/12/2023,7/17/2023 23:45,7/22/2023 17:45,7/23/2023 17:45,
49-2,>250 um,E1 Q4,13.26,51.39,38.13,7/12/2023,7/17/2023 23:45,7/19/2023 10:30,7/20/2023 10:40,
50-2,>53 um,E1 Q4,13.21,17.93,4.72,7/12/2023,7/17/2023 23:45,7/19/2023 10:30,7/20/2023 10:40,
51-2,Full,E2 Q1,13.54,113.95,100.41,7/12/2023,,,,
51.5-2,fPOM,E2 Q1,13.58,13.76,0.18,7/12/2023,7/17/2023 23:45,7/23/2023 17:45,7/24/2023 16:40,
52-2,>4.75 mm,E2 Q1,13.47,21.95,8.48,7/12/2023,7/17/2023 23:45,7/22/2023 17:45,7/23/2023 17:45,
53-2,>2 mm,E2 Q1,13.98,38.95,24.97,7/12/2023,7/17/2023 16:50,7/23/2023 17:45,7/24/2023 16:40,
54-2,>250 um,E2 Q1,15.84,64.62,48.78,7/12/2023,7/17/2023 16:50,7/22/2023 17:45,7/23/2023 17:45,
55-2,>53 um,E2 Q1,13.67,19.93,6.26,7/12/2023,8/3/2023 12:30,8/3/2023 12:30,8/5/2023 17:30,
56-2,Full,R1 Q3,13.49,114,100.51,7/13/2023,,,,
56.5-2,fPOM,R1 Q3,13.52,13.84,0.32,7/13/2023,7/17/2023 16:50,7/23/2023 17:45,7/24/2023 16:40,
57-2,>4.75 mm,R1 Q3,13.49,18.52,5.03,7/13/2023,7/17/2023 16:50,7/19/2023 10:30,7/20/2023 10:40,
58-2,>2 mm,R1 Q3,13.49,40.8,27.31,7/13/2023,7/23/2023 18:00,7/28/2023 16:30,8/3/2023 10:30,
59-2,>250 um,R1 Q3,13.44,61.39,47.95,7/13/2023,7/17/2023 16:50,7/19/2023 10:30,7/20/2023 10:40,
60-2,>53 um,R1 Q3,13.37,19.8,6.43,7/13/2023,7/23/2023 18:15,7/23/2023 18:15,7/24/2023 16:40,
61-2,Full,E2 Q5,13.21,113.66,100.45,7/13/2023,,,,
61.5-2,fPOM,E2 Q5,13.59,13.74,0.15,7/13/2023,8/15/2023 13:35,8/15/2023 13:35,8/21/2023 8:20,
62-2,>4.75 mm,E2 Q5,13.48,24.85,11.37,7/13/2023,7/23/2023 18:15,7/23/2023 17:40,7/24/2023 16:40,
63-2,>2 mm,E2 Q5,13.42,36.66,23.24,7/13/2023,8/3/2023 12:30,8/3/2023 12:30,8/5/2023 17:30,
64-2,>250 um,E2 Q5,13.3,61.45,48.15,7/13/2023,7/24/2023 16:40,7/24/2023 16:40,7/25/2023 16:45,
65-2,>53 um,E2 Q5,13.37,20.55,7.18,7/13/2023,7/24/2023 16:40,7/24/2023 16:40,7/25/2023 16:45,
