"redo","year","plot","trt","trt.full","num","spp","genus","species","abC_ha1","abC_ha2","abC_ha3","bgC_ha1","bgC_ha2","bgC_ha3","bmC_ha1","bmC_ha2","bmC_ha3"
"N",2022,"E3","E","Seedbank",3,"Salnig","Salix","nigra",2.52713464620456,2.47064411909939,2.54246944258318,0.484043449815986,0.521914490209108,0.508493888516637,3.01117809602054,2.9925586093085,3.05096333109982
"N",2022,"R1","R","Reference",1,"Acesai","Acer","saccharinum",136.104702043521,128.719638819561,147.681804880073,25.5086820710323,26.3820918755115,29.5363609760147,161.613384114553,155.101730695073,177.218165856088
"N",2022,"R1","R","Reference",1,"Celocc","Celtis","occidentalis",4.80573588608436,5.02517489725133,5.57921690242491,0.91682395676198,1.05690110897416,1.11584338048498,5.72255984284634,6.08207600622549,6.69506028290989
"N",2022,"R1","R","Reference",1,"Ulmame","Ulmus","americana",5.72072379117621,6.03157188220127,6.38228270850333,1.09651100363131,1.27380500285177,1.27645654170067,6.81723479480752,7.30537688505304,7.65873925020399
"N",2022,"R2","R","Reference",2,"Acesai","Acer","saccharinum",27.9030849691587,26.4029476733597,30.3954450906494,5.22442140233409,5.40648683758704,6.07908901812987,33.1275063714928,31.8094345109467,36.4745341087792
"N",2022,"R2","R","Reference",2,"Celocc","Celtis","occidentalis",9.05255045611259,9.32282332662565,10.5070647138269,1.71649523524655,1.94617484965982,2.10141294276537,10.7690456913591,11.2689981762855,12.6084776565922
"N",2022,"R2","R","Reference",2,"Gletria","Gleditsia","triacanthos",4.9202972500289,4.37570227404038,4.58671180730572,0.930315917159248,0.911282844216372,0.917342361461144,5.85061316718815,5.28698511825675,5.50405416876686
"N",2022,"R2","R","Reference",2,"Ulmame","Ulmus","americana",2.99235735130839,3.18482222519245,3.32762657147609,0.576054556682415,0.675679220489635,0.665525314295217,3.56841190799081,3.86050144568208,3.9931518857713
"N",2022,"R3","R","Reference",3,"Acesai","Acer","saccharinum",38.1560482954924,35.9187490168626,39.6944942322514,7.1814520112375,7.42108622632073,7.93889884645028,45.3375003067299,43.3398352431833,47.6333930787017
"Y",2022,"A1","A","Balled-and-burlapped",1,"Acesai","Acer","saccharinum",81.2110981411847,77.4895673096867,95.5730667964043,15.1368984308265,15.6403042504954,19.1146133592809,96.3479965720112,93.1298715601821,114.687680155685
"Y",2022,"A1","A","Balled-and-burlapped",1,"Plaocc","Platanus","occidentalis",6.32476707190423,6.42552432404848,6.98056021306365,1.19343881059623,1.33231296410191,1.39611204261273,7.51820588250046,7.75783728815039,8.37667225567638
"Y",2022,"A1","A","Balled-and-burlapped",1,"Quebic","Quercus","bicolor",2.20813206190378,2.12909668681079,2.79067917996512,0.421629468488105,0.448456862998188,0.558135835993025,2.62976153039189,2.57755354980898,3.34881501595815
"Y",2022,"A3","A","Balled-and-burlapped",3,"Acesai","Acer","saccharinum",174.726708925144,167.095136152251,209.768510620608,32.5205393028437,33.5948983528091,41.9537021241215,207.247248227988,200.69003450506,251.722212744729
"Y",2022,"A3","A","Balled-and-burlapped",3,"Quebic","Quercus","bicolor",10.0260057222087,9.68212456978985,12.0211710246566,1.90198222968434,2.0233378234359,2.40423420493133,11.9279879518931,11.7054623932258,14.425405229588
"Y",2022,"B1","B","Bareroot",1,"Moralb","Morus","alba",0.0177222973575442,0.0212228753120251,0.0206179460955404,0.00412417682226389,0.00477327944486495,0.00412358921910808,0.0218464741798081,0.02599615475689,0.0247415353146485
"Y",2022,"B1","B","Bareroot",1,"Quebic","Quercus","bicolor",6.56407436424799,6.32215756054231,8.6299175984705,1.26227690424231,1.33919712121461,1.7259835196941,7.8263512684903,7.66135468175692,10.3559011181646
"Y",2022,"C2","C","Seedling",2,"Acesai","Acer","saccharinum",187.483719887929,176.32553936885,193.519012093283,35.3411608753679,36.4895623965343,38.7038024186566,222.824880763297,212.815101765384,232.222814511939
"Y",2022,"C2","C","Seedling",2,"Fraxpen","Fraxinus","pennsylvanica",0.30826097565918,0.36210201891737,0.513113619004299,0.062286261624863,0.0788245653062038,0.10262272380086,0.370547237284043,0.440926584223574,0.615736342805159
