treatment,variable,variable.label,variable.mean,posterior.mean,posterior.sd,5,95,25,75
Seedbank,fine.woody.debris.cn.ratio,Fine woody debris C:N ratio,43.56954757,23.92368461,6.855644658,13.10086759,35.65257791,19.97218301,28.56215118
Reference,fine.woody.debris.cn.ratio,Fine woody debris C:N ratio,43.56954757,39.70528919,7.753651133,27.43409152,52.35191179,34.1209804,43.89493976
Balled-and-burlapped,herbaceous.litter.cn.ratio,Herbaceous litter C:N ratio,17.74074474,16.33851015,0.661473692,15.27532768,17.40382583,15.95373478,16.79788284
Bareroot,herbaceous.litter.cn.ratio,Herbaceous litter C:N ratio,17.74074474,17.98404466,0.660767913,16.92764115,19.06099036,17.62307472,18.43412667
Seedling,herbaceous.litter.cn.ratio,Herbaceous litter C:N ratio,17.74074474,17.95299238,0.68646239,16.72515138,18.95466844,17.47342678,18.31474837
Acorn,herbaceous.litter.cn.ratio,Herbaceous litter C:N ratio,17.74074474,16.80349679,0.641190931,15.80619508,17.86998727,16.47899199,17.31651304
Seedbank,herbaceous.litter.cn.ratio,Herbaceous litter C:N ratio,17.74074474,17.08623311,0.673625556,15.90139684,18.07214779,16.62663882,17.46807199
Reference,herbaceous.litter.cn.ratio,Herbaceous litter C:N ratio,17.74074474,20.09736993,0.667277495,19.06215884,21.24413712,19.5208311,20.3623164
Balled-and-burlapped,herbaceous.biomass.cn.ratio,Herbaceous biomass C:N ratio,15.01534536,11.26755339,2.612195584,6.823385132,15.32336369,9.89632724,13.34233019
Bareroot,herbaceous.biomass.cn.ratio,Herbaceous biomass C:N ratio,15.01534536,14.24086318,2.772712083,9.450018531,18.45439775,12.42165974,15.97854049
Seedling,herbaceous.biomass.cn.ratio,Herbaceous biomass C:N ratio,15.01534536,17.43181008,2.67140093,13.24241191,21.84789771,15.34135008,18.87062919
Acorn,herbaceous.biomass.cn.ratio,Herbaceous biomass C:N ratio,15.01534536,16.09811856,2.776014921,11.55037267,20.53834655,14.21214104,17.70743667
Seedbank,herbaceous.biomass.cn.ratio,Herbaceous biomass C:N ratio,15.01534536,14.55609084,2.901545798,9.557342454,19.03491078,12.64197596,16.32590324
Reference,herbaceous.biomass.cn.ratio,Herbaceous biomass C:N ratio,15.01534536,13.76757793,2.830505661,9.105500691,18.37051075,11.88364045,15.55205373
Balled-and-burlapped,MOC,Mineral-associated organic carbon,87.00273799,76.89736336,5.365273089,67.90105618,85.15434125,74.12186695,80.91231111
Bareroot,MOC,Mineral-associated organic carbon,87.00273799,71.90883164,5.499633667,62.95238137,80.6373861,68.85718585,75.75357131
Seedling,MOC,Mineral-associated organic carbon,87.00273799,76.52137325,5.321249735,68.283871,85.60337323,73.54250874,80.10273428
Acorn,MOC,Mineral-associated organic carbon,87.00273799,84.064805,5.275985896,75.40944929,92.51520314,80.76474042,87.50699292
Seedbank,MOC,Mineral-associated organic carbon,87.00273799,100.2453909,5.372993228,91.52844418,108.9914664,97.40529663,104.0928812
Reference,MOC,Mineral-associated organic carbon,87.00273799,110.6246113,5.097760435,102.5187378,118.9245894,107.0428894,113.6021679
Balled-and-burlapped,POC,Particulate organic carbon,15.16331936,14.36872129,1.718918142,11.41309422,16.9596554,13.37253948,15.48688771
Bareroot,POC,Particulate organic carbon,15.16331936,16.0414382,1.821294063,13.04803192,18.88795301,15.02440369,17.32104631
