"model","model.label","variable","variable.label","treatment","full.treatment.name","posterior.mean","posterior.se","5","95","25","75"
"plot.random","Plot random effects","belowground.woody.c.stock","Belowground live trees (>= 2.5 cm)","D","Acorn",-296177404.898672,976820256.385887,-1842478893.07468,682041039.942842,-13805842.1784717,3624316.77332956
"plot.random","Plot random effects","belowground.woody.c.stock","Belowground live trees (>= 2.5 cm)","E","Seedbank",271503574.636824,1182471972.13819,-1917228849.63744,1367063310.98189,-11744841.4155752,4681576.73522763
"plot.random","Plot random effects","belowground.woody.c.stock","Belowground live trees (>= 2.5 cm)","R","Reference",182042456.968724,643986909.254602,-780660086.805168,1054588298.76283,-5099008.19497685,5484348.74255953
"strip.plot.random","Strip and plot random effects","belowground.woody.c.stock","Belowground live trees (>= 2.5 cm)","A","Balled-and-burlapped",-87985402.9290412,245454218.003944,-124378393.729985,-159.05393395451,-11649007.5982574,-159.05393395451
"strip.plot.random","Strip and plot random effects","belowground.woody.c.stock","Belowground live trees (>= 2.5 cm)","B","Bareroot",-2296291.54000658,165270254.66946,-43187105.9270522,68274243.6220405,-12944196.5107393,4683377.5622749
"strip.plot.random","Strip and plot random effects","belowground.woody.c.stock","Belowground live trees (>= 2.5 cm)","C","Seedling",21802688.6380837,109252347.148421,-45288270.3770744,106797381.806534,-9041398.90256813,6425490.69960828
"strip.plot.random","Strip and plot random effects","belowground.woody.c.stock","Belowground live trees (>= 2.5 cm)","D","Acorn",5229918.76641494,86122593.7861715,-41621625.6654841,58748613.5059328,-11250793.2752476,5422370.67699246
"strip.plot.random","Strip and plot random effects","belowground.woody.c.stock","Belowground live trees (>= 2.5 cm)","E","Seedbank",-68147054.1547991,257712031.518488,-98027468.072642,105967304.883661,-11486580.5858101,5396704.69523755
"strip.plot.random","Strip and plot random effects","belowground.woody.c.stock","Belowground live trees (>= 2.5 cm)","R","Reference",7795686.69765134,99396872.990978,-55556145.4508636,60394819.260934,-7438888.77257803,4961467.2820164
"simple","Fixed effects only","total.woody.c.stock","Live trees (>= 2.5 cm)","A","Balled-and-burlapped",-39482328014.2451,117276554528.027,-116963880157.29,-1530.60889614373,-89059678.7582022,-1530.60889614373
"simple","Fixed effects only","total.woody.c.stock","Live trees (>= 2.5 cm)","B","Bareroot",6259025208.47568,59436524090.7486,-61167648033.1135,6682533040.21055,-39734924.5277533,62071033.5784855
"simple","Fixed effects only","total.woody.c.stock","Live trees (>= 2.5 cm)","C","Seedling",-16291191344.6231,76376806260.1136,-20269016824.2446,26445164201.4066,-101825314.037431,70753737.1952206
"simple","Fixed effects only","total.woody.c.stock","Live trees (>= 2.5 cm)","D","Acorn",-20962738102.2745,157186475870.276,-74215235082.0465,54889931360.9201,-30270606.6473701,52388707.6116371
"simple","Fixed effects only","total.woody.c.stock","Live trees (>= 2.5 cm)","E","Seedbank",10847457648.7519,80107136976.3099,-16261257221.0571,34798649461.0765,-55094500.4830404,39864859.7219843
"simple","Fixed effects only","total.woody.c.stock","Live trees (>= 2.5 cm)","R","Reference",29122221079.2886,95819431306.3179,-15777741803.7113,99243952571.3579,-43284907.7471221,62245541.8431318
"plot.random","Plot random effects","total.woody.c.stock","Live trees (>= 2.5 cm)","A","Balled-and-burlapped",-542448446.992151,1098570323.06596,-2582741366.0033,-150.690166461922,-41389599.0895043,-150.690166461922
"plot.random","Plot random effects","total.woody.c.stock","Live trees (>= 2.5 cm)","B","Bareroot",43357483.9508565,676750207.150866,-913802457.38949,368755634.626213,-32963798.3283991,28306497.1294025
"plot.random","Plot random effects","total.woody.c.stock","Live trees (>= 2.5 cm)","C","Seedling",-58611342.8992356,351075197.054082,-742719642.058166,446308578.637366,-23710225.3209279,21259823.18313
"plot.random","Plot random effects","total.woody.c.stock","Live trees (>= 2.5 cm)","D","Acorn",84041869.6123785,778562236.447261,-924868595.619404,840455616.9327,-46731942.8453495,15161220.9108851
"plot.random","Plot random effects","total.woody.c.stock","Live trees (>= 2.5 cm)","E","Seedbank",58632817.6079265,790651383.878441,-1190687413.93808,1836339402.96291,-64082562.0627812,22492302.267553
"plot.random","Plot random effects","total.woody.c.stock","Live trees (>= 2.5 cm)","R","Reference",-68052680.5563229,908069868.150286,-1851440950.07061,216747411.41777,-50488076.7445027,17704505.3478416
"strip.plot.random","Strip and plot random effects","total.woody.c.stock","Live trees (>= 2.5 cm)","A","Balled-and-burlapped",-90090170.798186,214761161.131549,-278231487.220917,-116.675460545972,-13404118.7421274,-116.675460545972
"strip.plot.random","Strip and plot random effects","total.woody.c.stock","Live trees (>= 2.5 cm)","B","Bareroot",19651156.2922267,94442042.8461141,-103925473.610567,78449702.3479308,-6574908.30878413,8837557.82996189
