"plot","trt","trt.full","num","quad","temperature","gravimetric.moisture","volumetric.moisture","bulk.density","bulk.n","bulk.c","bulk.cn","ton","toc","sand","silt","clay","ph","p","k","ca","mg","som","no3","nh4","cec","k.meq","ca.meq","mg.meq","h.meq","pon.percent","poc.percent","poc.mass.rel","fpom","g475mm","g2mm","g250um","g53um","l53um","mwd"
"D1","D","Acorn","1","Q1",16.3,0.393587591694641,0.289835726147777,0.736394470414711,0.28,4.33,15.46,1.08,8.11,38,43,19,7.7,113,100,6436,614,5.3,13,1,37.6,0.3,32.2,5.1,0,0.715,13.29,0.72309,0.219296715433605,5.15496801756766,31.2680234487997,43.2911652330975,6.4393490077322,13.6271975773694,1.88070622513599
"D1","D","Acorn","1","Q2",17,0.291976464159758,0.235391157033332,0.806199080842816,0.27,3.94,14.59,0.37,3.82,40,43,17,7.7,110,60,6597,525,5,8.4,1,37.5,0.2,33,4.4,0,0.655,9.74,0.36816,0.0398721300788363,11.1921069131296,29.2540821585176,46.2098051548683,5.13353674765029,8.17059689575531,2.22845970472694
"D1","D","Acorn","1","Q3",16.4,0.310619894601306,0.235232992950116,0.757301760249607,0.29,4.14,14.28,0.4,4.08,44,39,17,7.6,123,100,6824,528,6.6,9.8,1.1,38.8,0.3,34.1,4.4,0,0.76,10.005,0.578445,0.309009008110989,10.5975137733289,28.2027537686639,46.126671763654,5.7914268939511,8.97262479229112,2.15513351182757
"D1","D","Acorn","1","Q4",16.8,0.405463193262643,0.291689887812602,0.719399177679875,0.29,4.06,14,0.41,4.07,42,39,19,7.6,129,85,6794,543,5.3,15.4,1,38.7,0.2,34,4.5,0,0.805,11.37,0.53553,0.0797442601576744,7.20628942979863,29.9680923279044,41.4739929047545,3.93737284528517,17.3345082320997,1.94337160725553
"D1","D","Acorn","1","Q5",17.1,0.305358264482775,0.228871940128707,0.74951939000694,0.29,4.08,14.07,0.41,4.05,39,44,17,7.4,91,65,6607,533,5,8.6,1,37.6,0.2,33,4.4,0,0.83,10.74,0.451965,0.14952048779564,14.2751196911505,29.2681370843704,45.5609859181605,4.62516708914511,6.12106972937788,2.41740672662771
"D2","D","Acorn","2","Q1",17.3,0.229977929279102,0.191747251658,0.833763710539786,0.23,3.95,17.17,0.35,3.44,45,42,13,7.4,87,55,7561,468,5.2,9.5,1,41.8,0.1,37.8,3.9,0,0.24,4.64,0.898075,0.348881138189825,3.85643242122513,17.4940964327402,46.5507118670424,17.6832896899643,14.0665884508382,1.38675901384261
"D2","D","Acorn","2","Q2",17.2,0.277069200010603,0.21357560275087,0.770838486351773,0.22,3.72,16.91,0.29,3.03,34,53,13,7.7,85,73,8608,463,4.5,16.2,1,47.1,0.2,43,3.9,0,0.22,4.1,0.623075,0.0797442601576744,6.54760184089625,16.1612708045299,43.3504750265897,13.4568439016075,20.4040641662189,1.47093246957009
"D2","D","Acorn","2","Q3",18.1,0.256494291905053,0.209423099806312,0.816482496553314,0.26,4.21,16.19,0.09,3.28,38,47,15,7.6,86,69,8263,518,5.8,8.3,1,45.8,0.2,41.3,4.3,0,0.435,7.27,0.76372,0.279104910551861,6.98489942753589,28.5571173247396,46.0423422085372,9.89825629207133,8.23827983656414,1.94206225634391
"D2","D","Acorn","2","Q4",16.9,0.329506453316987,0.224187493142693,0.680373603873013,0.26,3.97,15.27,0.35,4.02,36,47,17,7.7,117,100,7207,586,5.6,7.7,1.5,41.2,0.3,36,4.9,0,0.48,7.535,0.50218,0.0598081951182562,13.8005416628871,28.0380818714383,38.0946305199226,6.05059573946354,13.9563420111702,2.26380104006451
"D2","D","Acorn","2","Q5",16.8,0.307938593475758,0.212128655409565,0.688866741304591,0.28,4.07,14.54,0.37,4.14,35,48,17,7.6,113,98,7205,609,6.8,17,1.6,41.4,0.3,36,5.1,0,0.505,6.965,0.657255,0.0498401625985472,7.89468175560976,19.4309848316449,46.9052747837685,6.25992442237743,19.4592940440009,1.69624982680543
